Province/State,Country/Rigeon,Last Update,Confirmed,Death,Recovered
Hubei,Mainland China,03-02,56249,0,5623
OtherProvince,China,03-02,12466,0,3676
/,ForeignCountry,03-02,317,0,96
Hubei,Mainland China,03-02,64786,0,18971
OtherProvince,China,03-02,12950,0,8687
/,ForeignCountry,03-02,2679,0,247
Hubei,Mainland China,03-02,64786,0,18971
OtherProvince,China,03-02,12950,0,8687
/,ForeignCountry,03-02,2679,0,247
Hubei,Mainland China,03-02,64776,0,18970
OtherProvince,China,03-02,12942,0,8686
/,ForeignCountry,03-02,2667,0,245
